,SP_surplus,target_lag_1,SE_surplus,DE_surplus,sin_hour,IT_green_energy_lag_1,SP_green_energy,DK_green_energy,SP_surplus_lag_1,DK_surplus,HU_surplus_lag_1,IT_green_energy_lag_24,IT_green_energy,PO_surplus,SP_green_energy_lag_1,DE_green_energy,HU_Load_monthly_mean,HU_surplus,target_lag_24,PO_green_energy_lag_24,DK_surplus_lag_2,PO_surplus_lag_3,NE_surplus,HU_surplus_lag_24,HU_green_energy_lag_24
0,-34812.0,,-4224.0,-7752.0,0.0,,43308.0,3604.0,,387.0,,,5744.0,-9440.0,,157373.0,16460.0,-15080.0,,,,,-27938.0,,
1,-28972.0,3.0,-4230.0,-8668.0,0.2588,5744.0,44560.0,3308.0,-34812.0,183.0,-15080.0,,6228.0,-9144.0,43308.0,151747.0,15944.0,-13900.0,,,,,-28334.0,,
2,-25276.0,3.0,-4640.0,-10097.0,0.5,6228.0,45444.0,3044.0,-28972.0,-37.0,-13900.0,,6410.0,-8830.0,44560.0,147938.0,15550.0,-13224.0,,,387.0,,-27599.0,,
3,-24596.0,3.0,-4616.0,-15200.0,0.707,6410.0,44988.0,2852.0,-25276.0,-192.0,-13224.0,,5760.0,-8810.0,45444.0,141816.0,15320.0,-13340.0,,,183.0,-9440.0,-26921.0,,
4,-26704.0,3.0,-4884.0,-22582.0,0.866,5760.0,43472.0,2724.0,-24596.0,-406.0,-13340.0,,5500.0,-9070.0,44988.0,131970.0,15200.0,-13380.0,,,-37.0,-9144.0,-27053.0,,
5,-27724.0,3.0,-4944.0,-24930.0,0.966,5500.0,43740.0,2580.0,-26704.0,-659.0,-13380.0,,6224.0,-9144.0,43472.0,129345.0,15160.0,-13510.0,,,-192.0,-8830.0,-27928.0,,
6,-26820.0,3.0,-4696.0,-34520.0,1.0,6224.0,44404.0,2292.0,-27724.0,-1085.0,-13510.0,,7356.0,-9160.0,43740.0,122836.0,15140.0,-13410.0,,,-406.0,-8810.0,-29547.0,,
7,-20776.0,3.0,-5170.0,-45492.0,0.966,7356.0,53356.0,1806.0,-26820.0,-1731.0,-13410.0,,8640.0,-9660.0,44404.0,117508.0,15150.0,-12820.0,,,-659.0,-9070.0,-30243.0,,
8,-15356.0,3.0,-5810.0,-52769.0,0.866,8640.0,64716.0,1655.0,-20776.0,-2060.0,-12820.0,,9140.0,-10450.0,53356.0,119089.0,15200.0,-11950.0,,,-1085.0,-9144.0,-30387.0,,
9,-13492.0,3.0,-6250.0,-58858.0,0.707,9140.0,70464.0,1601.0,-15356.0,-2216.0,-11950.0,,9820.0,-11380.0,64716.0,120971.0,15280.0,-11840.0,,,-1731.0,-9160.0,-29513.0,,
