,SP_surplus,target_lag_1,SE_surplus,DE_surplus,sin_hour,IT_green_energy_lag_1,SP_green_energy,DK_green_energy,SP_surplus_lag_1,DK_surplus,HU_surplus_lag_1,IT_green_energy_lag_24,IT_green_energy,PO_surplus,SP_green_energy_lag_1,DE_green_energy,HU_Load_monthly_mean,HU_surplus,target_lag_24,PO_green_energy_lag_24,DK_surplus_lag_2,PO_surplus_lag_3,NE_surplus,HU_surplus_lag_24,HU_green_energy_lag_24,target
2022-01-01 00:00:00,-34812.0,,-4224.0,-7752.0,0.0,,43308.0,3604.0,,387.0,,,5744.0,-9440.0,,157373.0,16460.0,-15080.0,,,,,-27938.0,,,3.0
2022-01-01 01:00:00,-28972.0,3.0,-4230.0,-8668.0,0.2588,5744.0,44560.0,3308.0,-34812.0,183.0,-15080.0,,6228.0,-9144.0,43308.0,151747.0,15944.0,-13900.0,,,,,-28334.0,,,3.0
2022-01-01 02:00:00,-25276.0,3.0,-4640.0,-10097.0,0.5,6228.0,45444.0,3044.0,-28972.0,-37.0,-13900.0,,6410.0,-8830.0,44560.0,147938.0,15550.0,-13224.0,,,387.0,,-27599.0,,,3.0
2022-01-01 03:00:00,-24596.0,3.0,-4616.0,-15200.0,0.707,6410.0,44988.0,2852.0,-25276.0,-192.0,-13224.0,,5760.0,-8810.0,45444.0,141816.0,15320.0,-13340.0,,,183.0,-9440.0,-26921.0,,,3.0
2022-01-01 04:00:00,-26704.0,3.0,-4884.0,-22582.0,0.866,5760.0,43472.0,2724.0,-24596.0,-406.0,-13340.0,,5500.0,-9070.0,44988.0,131970.0,15200.0,-13380.0,,,-37.0,-9144.0,-27053.0,,,3.0
2022-01-01 05:00:00,-27724.0,3.0,-4944.0,-24930.0,0.966,5500.0,43740.0,2580.0,-26704.0,-659.0,-13380.0,,6224.0,-9144.0,43472.0,129345.0,15160.0,-13510.0,,,-192.0,-8830.0,-27928.0,,,3.0
2022-01-01 06:00:00,-26820.0,3.0,-4696.0,-34520.0,1.0,6224.0,44404.0,2292.0,-27724.0,-1085.0,-13510.0,,7356.0,-9160.0,43740.0,122836.0,15140.0,-13410.0,,,-406.0,-8810.0,-29547.0,,,3.0
2022-01-01 07:00:00,-20776.0,3.0,-5170.0,-45492.0,0.966,7356.0,53356.0,1806.0,-26820.0,-1731.0,-13410.0,,8640.0,-9660.0,44404.0,117508.0,15150.0,-12820.0,,,-659.0,-9070.0,-30243.0,,,3.0
2022-01-01 08:00:00,-15356.0,3.0,-5810.0,-52769.0,0.866,8640.0,64716.0,1655.0,-20776.0,-2060.0,-12820.0,,9140.0,-10450.0,53356.0,119089.0,15200.0,-11950.0,,,-1085.0,-9144.0,-30387.0,,,3.0
2022-01-01 09:00:00,-13492.0,3.0,-6250.0,-58858.0,0.707,9140.0,70464.0,1601.0,-15356.0,-2216.0,-11950.0,,9820.0,-11380.0,64716.0,120971.0,15280.0,-11840.0,,,-1731.0,-9160.0,-29513.0,,,3.0
2022-01-01 10:00:00,-15732.0,3.0,-6396.0,-65143.0,0.5,9820.0,70324.0,1832.0,-13492.0,-2060.0,-11840.0,,10400.0,-12220.0,70464.0,123192.0,15390.0,-12170.0,,,-2060.0,-9660.0,-28455.0,,,3.0
2022-01-01 11:00:00,-19696.0,3.0,-6530.0,-66214.0,0.2588,10400.0,68724.0,1904.0,-15732.0,-2039.0,-12170.0,,10370.0,-13144.0,70324.0,122314.0,15530.0,-13120.0,,,-2216.0,-10450.0,-27446.0,,,3.0
2022-01-01 12:00:00,-23196.0,3.0,-6650.0,-67770.0,0.0,10370.0,66340.0,2116.0,-19696.0,-1799.0,-13120.0,,9880.0,-13770.0,68724.0,117152.0,15656.0,-14170.0,,,-2060.0,-11380.0,-28082.0,,,3.0
2022-01-01 13:00:00,-18676.0,3.0,-6800.0,-73914.0,-0.2588,9880.0,65748.0,2498.0,-23196.0,-1490.0,-14170.0,,7776.0,-14376.0,66340.0,108819.0,15784.0,-15360.0,,,-2039.0,-12220.0,-29321.0,,,3.0
2022-01-01 14:00:00,-23276.0,3.0,-6484.0,-83763.0,-0.5,7776.0,59192.0,3200.0,-18676.0,-1013.0,-15360.0,,7108.0,-15340.0,65748.0,99704.0,15940.0,-16530.0,,,-1799.0,-13144.0,-30869.0,,,3.0
2022-01-01 15:00:00,-36832.0,3.0,-6204.0,-88467.0,-0.707,7108.0,47552.0,3772.0,-23276.0,-702.0,-16530.0,,8810.0,-15460.0,59192.0,107104.0,16136.0,-17740.0,,,-1490.0,-13770.0,-33786.0,,,3.0
2022-01-01 16:00:00,-48684.0,3.0,-5692.0,-89474.0,-0.866,8810.0,44160.0,4340.0,-36832.0,-68.0,-17740.0,,9000.0,-15790.0,47552.0,117785.0,16310.0,-17740.0,,,-1013.0,-14376.0,-36422.0,,,3.0
2022-01-01 17:00:00,-51808.0,3.0,-4716.0,-82032.0,-0.966,9000.0,45932.0,4790.0,-48684.0,659.0,-17740.0,,9280.0,-15900.0,44160.0,126662.0,16460.0,-17820.0,,,-702.0,-15340.0,-35218.0,,,3.0
2022-01-01 18:00:00,-52608.0,3.0,-3814.0,-72318.0,-1.0,9280.0,47248.0,5052.0,-51808.0,1082.0,-17820.0,,8510.0,-15650.0,45932.0,131402.0,16600.0,-17920.0,,,-68.0,-15460.0,-33793.0,,,3.0
2022-01-01 19:00:00,-52860.0,3.0,-2988.0,-66618.0,-0.966,8510.0,47896.0,5096.0,-52608.0,1276.0,-17920.0,,7416.0,-15256.0,47248.0,129423.0,16720.0,-17540.0,,,659.0,-15790.0,-32638.0,,,3.0
2022-01-01 20:00:00,-50072.0,3.0,-2356.0,-60377.0,-0.866,7416.0,46464.0,4892.0,-52860.0,1273.0,-17540.0,,5956.0,-14800.0,47896.0,131258.0,16780.0,-17040.0,,,1082.0,-15900.0,-31949.0,,,3.0
2022-01-01 21:00:00,-45092.0,3.0,-2000.0,-54563.0,-0.707,5956.0,45116.0,4748.0,-50072.0,1285.0,-17040.0,,5110.0,-14020.0,46464.0,132964.0,16800.0,-16290.0,,,1276.0,-15650.0,-30435.0,,,3.0
2022-01-01 22:00:00,-41232.0,3.0,-2682.0,-42586.0,-0.5,5110.0,42960.0,4078.0,-45092.0,727.0,-16290.0,,5044.0,-12710.0,45116.0,133780.0,16780.0,-15384.0,,,1273.0,-15256.0,-28246.0,,,3.0
2022-01-01 23:00:00,-36244.0,3.0,-2576.0,-26199.0,-0.2588,5044.0,41648.0,3960.0,-41232.0,787.0,-15384.0,,5320.0,-11540.0,42960.0,143879.0,16740.0,-14510.0,,,1285.0,-14800.0,-26843.0,,,3.0
2022-01-02 00:00:00,-32948.0,3.0,-2470.0,-20321.0,0.0,5320.0,40552.0,3960.0,-36244.0,831.0,-14510.0,5744.0,5292.0,-10710.0,41648.0,144602.0,16660.0,-14010.0,3.0,4492.0,727.0,-14020.0,-24543.0,-15080.0,1376.0,3.0
2022-01-02 01:00:00,-30664.0,3.0,-3160.0,-20458.0,0.2588,5292.0,40700.0,3732.0,-32948.0,639.0,-14010.0,6228.0,5510.0,-10090.0,40552.0,142061.0,16580.0,-13610.0,3.0,4436.0,787.0,-12710.0,-23513.0,-13900.0,1526.0,3.0
2022-01-02 02:00:00,-29660.0,3.0,-3616.0,-20563.0,0.5,5510.0,40496.0,3816.0,-30664.0,754.0,-13610.0,6410.0,5612.0,-9720.0,40700.0,142190.0,16480.0,-13496.0,3.0,4570.0,831.0,-11540.0,-23083.0,-13224.0,1560.0,3.0
2022-01-02 03:00:00,-31224.0,3.0,-3900.0,-23563.0,0.707,5612.0,39512.0,3814.0,-29660.0,665.0,-13496.0,5760.0,5212.0,-9940.0,40496.0,139441.0,16400.0,-13760.0,3.0,4560.0,639.0,-10710.0,-23044.0,-13340.0,1287.0,3.0
